feature1,feature2,feature3,feature4,score1,score2
95.4,1.5,1.5,0.1,73.05277885642273,25.926989485385164
95.3,1.5,1.5,0.2,72.27454728047394,26.12988407304001
95.2,1.5,1.5,0.3,72.38471128649894,26.11689311628947
95.1,1.5,1.5,0.4,73.34195139407365,25.87404559516469
95.0,1.5,1.5,0.5,75.06380189613071,25.4401710009259
94.9,1.5,1.5,0.6,77.43059900001121,24.89315518966668
94.8,1.5,1.5,0.7000000000000001,80.27529105572725,24.318618316887733
94.4,1.9000000000000004,1.5,0.7000000000000001,80.3302140527692,23.95092558658364
94.4,2.0000000000000004,1.5,0.6,77.43343200603488,24.351321910514244
94.3,2.0000000000000004,1.5,0.7000000000000001,80.42524172297553,23.835963314014464
94.2,2.1000000000000005,1.5,0.7000000000000001,80.55389912958664,23.71216579481292
94.1,2.2000000000000006,1.5,0.7000000000000001,80.71655368922218,23.579816702072563
95.3,1.5,1.6,0.1,72.71546601588298,25.950945493171893
95.2,1.5,1.6,0.2,71.93719167423112,26.150857485092274
95.1,1.5,1.6,0.3,72.06359915841435,26.132739936922157
95.2,1.5,1.7000000000000002,0.1,72.40094958098375,25.96723775233495
95.1,1.5,1.7000000000000002,0.2,71.62419581456143,26.163735199137538
95.0,1.5,1.8000000000000005,0.2,71.3365575788419,26.168254586308212
93.3,1.5,3.0000000000000013,0.7000000000000001,80.62324674834346,23.605402711019153
93.2,1.5,3.1000000000000014,0.7000000000000001,80.88262734262794,23.53105511155012
93.1,1.5,3.2000000000000015,0.7000000000000001,81.17120138394154,23.454816408724525
93.0,1.5,3.3000000000000016,0.7000000000000001,81.48834248770024,23.376977101671713
92.9,1.5,3.4000000000000017,0.7000000000000001,81.83329796383359,23.297826976902286
92.8,1.5,3.5000000000000018,0.7000000000000001,82.2051932132028,23.21765351824107
92.7,1.5,3.600000000000002,0.7000000000000001,82.60303741032095,23.136740544853065
92.6,1.5,3.700000000000002,0.7000000000000001,83.0257303506369,23.055367068399878
92.5,1.5,3.800000000000002,0.7000000000000001,83.47207030861509,22.97380634962913
92.4,1.5,3.900000000000002,0.7000000000000001,83.94076272967385,22.892325126430368
92.1,1.5,4.3000000000000025,0.6,83.09976331122655,22.991893232215407
91.8,1.5,4.700000000000003,0.5,83.07660714520959,23.02444354009358
91.6,1.5,5.0000000000000036,0.4,83.07364812307964,23.035901051978023
91.5,1.5,5.100000000000003,0.4,83.86654336390939,22.943388371342145
91.4,1.5,5.200000000000003,0.4,84.66697939168304,22.85424193422657
91.2,1.5,5.200000000000003,0.6,89.04560167228678,22.250910701844294
91.1,1.5,5.200000000000003,0.7000000000000001,91.36998495528616,21.946582970680808
91.3,1.5,5.300000000000003,0.4,85.472536948848,22.768560990963145
91.2,1.5,5.300000000000003,0.5,87.52212202813794,22.49980698210115
91.1,1.5,5.300000000000003,0.6,89.73762139945188,22.18146593052575
91.0,1.5,5.300000000000003,0.7000000000000001,91.98673588516533,21.88935993229313
91.2,1.5,5.400000000000004,0.4,86.28085146309914,22.686429365086212
91.1,1.5,5.400000000000004,0.5,88.27869980803462,22.42326525502526
91.0,1.5,5.400000000000004,0.6,90.4290696418003,22.115177002040607
90.9,1.5,5.400000000000004,0.7000000000000001,92.60177299171835,21.835094866573908
91.4,1.5,5.5000000000000036,0.1,84.05282478482059,22.869827638334844
91.2,1.5,5.5000000000000036,0.3,85.45162970157875,22.77090759956159
91.1,1.5,5.5000000000000036,0.4,87.08962240599148,22.607916410615886
91.0,1.5,5.5000000000000036,0.5,89.03422722478304,22.350186112338932
90.9,1.5,5.5000000000000036,0.6,91.11818017853099,22.05215536709067
90.8,1.5,5.5000000000000036,0.7000000000000001,93.21356512373043,21.78388276505399
90.9,1.6,5.5000000000000036,0.5,89.37551166612835,22.185637526721447
90.7,1.6,5.5000000000000036,0.7000000000000001,93.54990736376783,21.631931111350983
90.6,1.7000000000000002,5.5000000000000036,0.7000000000000001,93.90892839469763,21.472801227814198
90.5,1.8000000000000005,5.5000000000000036,0.7000000000000001,94.2898150582865,21.306700032264644
90.4,1.9000000000000004,5.5000000000000036,0.7000000000000001,94.69163910600714,21.133866678273915
90.3,2.0000000000000004,5.5000000000000036,0.7000000000000001,95.11336189484777,20.954572524652896
90.2,2.1000000000000005,5.5000000000000036,0.7000000000000001,95.55384009289581,20.769121040019595
90.1,2.2000000000000006,5.5000000000000036,0.7000000000000001,96.01183237236583,20.57784764508677
