,x,y_mean,y_sd,y1,y2,y3,y4,y5
0,0.5000,6.3830,0.3185,6.1569,6.6080,5.8799,6.5226,6.7477
1,1.0000,5.4716,0.3655,5.7596,5.1780,5.7598,4.8968,5.7637
2,1.5000,4.6233,0.0584,4.7244,4.5656,4.5697,4.6453,4.6118
3,2.0000,4.4556,0.7265,3.0619,4.8051,5.1548,4.5137,4.7427
4,2.5000,4.4529,0.3044,4.0939,4.8239,4.1516,4.7765,4.4185
5,3.0000,4.6663,0.2437,4.7483,4.2758,4.9917,4.5321,4.7839
6,3.5000,4.6096,0.0863,4.5255,4.6230,4.7166,4.4969,4.6859
7,4.0000,4.6202,0.3825,3.9139,5.0785,4.6758,4.6925,4.7405
8,4.5000,4.7405,0.2391,4.6555,4.4263,5.0223,4.5829,5.0155
9,9.0000,4.4545,0.1096,4.5951,4.3167,4.5542,4.4587,4.3477
10,9.5000,5.9423,0.2085,5.6608,6.1728,5.7973,6.1900,5.8907
11,10.0000,7.7901,0.2140,7.6617,7.4953,8.1072,7.9418,7.7444
12,8.0000,3.6278,0.1716,3.4355,3.4899,3.8777,3.7808,3.5551
13,6.9000,3.8178,0.0783,3.8240,3.7104,3.8299,3.9489,3.7760
14,5.9000,4.2424,0.1822,4.4063,3.8994,4.3768,4.2996,4.2301
15,7.9000,3.2670,0.5037,3.0469,4.0458,3.3800,2.4981,3.3642
16,8.1000,3.5511,0.1014,3.4225,3.4846,3.5294,3.7163,3.6029
17,7.6000,3.3989,0.5584,3.9626,2.7272,3.1989,4.1457,2.9600
