,x,y_mean,y_sd,y1,y2,y3,y4,y5
0,0.5000,6.3830,0.3185,6.1569,6.6080,5.8799,6.5226,6.7477
1,1.0000,5.4716,0.3655,5.7596,5.1780,5.7598,4.8968,5.7637
2,1.5000,4.6233,0.0584,4.7244,4.5656,4.5697,4.6453,4.6118
3,2.0000,4.4556,0.7265,3.0619,4.8051,5.1548,4.5137,4.7427
4,2.5000,4.4529,0.3044,4.0939,4.8239,4.1516,4.7765,4.4185
5,3.0000,4.6663,0.2437,4.7483,4.2758,4.9917,4.5321,4.7839
6,3.5000,4.6096,0.0863,4.5255,4.6230,4.7166,4.4969,4.6859
7,4.0000,4.6202,0.3825,3.9139,5.0785,4.6758,4.6925,4.7405
8,4.5000,4.7405,0.2391,4.6555,4.4263,5.0223,4.5829,5.0155
9,9.0000,4.4545,0.1096,4.5951,4.3167,4.5542,4.4587,4.3477
10,9.5000,5.9423,0.2085,5.6608,6.1728,5.7973,6.1900,5.8907
11,10.0000,7.7901,0.2140,7.6617,7.4953,8.1072,7.9418,7.7444
12,8.4000,3.3943,0.3394,3.2115,3.2122,3.7037,3.8760,2.9682
13,8.1000,3.4421,0.2189,3.2372,3.2408,3.4978,3.4023,3.8325
14,8.0000,3.2657,0.6878,3.9801,2.3895,2.4893,3.8833,3.5864
15,7.9000,3.4125,0.1728,3.4970,3.5256,3.6195,3.2584,3.1621
16,7.9000,3.5306,0.2693,3.5447,3.1384,3.6044,3.4027,3.9629
17,7.0000,3.4757,0.5266,3.8739,3.6000,3.7246,2.4369,3.7429
18,7.7000,3.4816,0.2186,3.2329,3.2889,3.8423,3.4648,3.5792
